filepath,filename,sti_score,noise_damage_percent,reverb_damage_percent,snr_per_band,avg_snr,ti_per_band,ti_mtf,ti_noise,theoretical_rt60,theoretical_snr,snr_error,primary_issue
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_0.17s_ambient noise_SNR-10dB.wav,stipa_0.17s_ambient noise_SNR-10dB.wav,0.432,91.066,8.934,"[np.float64(-8.705832729041925), np.float64(6.884351134398932), np.float64(2.0726960995127386), np.float64(1.8509432682721318), np.float64(-1.4479536823872285), np.float64(-0.31902683871706594), np.float64(4.8770109048261965)]",0.745,"[0.20980558 0.61636109 0.48653231 0.46703164 0.37836943 0.40770507
 0.51876071]","[0.44348359 0.61636109 0.48653231 0.46703164 0.37836943 0.40770507
 0.51876071]","[0.20980558 0.72947837 0.56908987 0.56169811 0.45173488 0.48936577
 0.66256703]",0.170,-10.000,10.745,Noise
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_0.17s_ambient noise_SNR0dB.wav,stipa_0.17s_ambient noise_SNR0dB.wav,0.666,41.740,58.260,"[np.float64(1.9362135008326238), np.float64(16.83251290862472), np.float64(11.977959341736337), np.float64(11.764931404833206), np.float64(8.559380458651377), np.float64(9.695931670704033), np.float64(14.866650436950641)]",10.805,"[0.53211262 0.82013028 0.73062446 0.6508125  0.63382598 0.66994293
 0.68366772]","[0.53211262 0.82013028 0.73062446 0.6508125  0.63382598 0.66994293
 0.68366772]","[0.56454045 1.         0.89926531 0.89216438 0.78531268 0.82319772
 0.99555501]",0.170,0.000,10.805,Mixed
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_0.17s_ambient noise_SNR10dB.wav,stipa_0.17s_ambient noise_SNR10dB.wav,0.808,11.953,88.047,"[np.float64(11.905460702223715), np.float64(26.75174595916531), np.float64(21.931448294088995), np.float64(21.736757314326894), np.float64(18.53703312606229), np.float64(19.67437998906514), np.float64(24.78825086585224)]",20.761,"[0.70380501 0.92034904 0.90794169 0.73237248 0.80875766 0.88130708
 0.74179203]","[0.70380501 0.92034904 0.90794169 0.73237248 0.80875766 0.88130708
 0.74179203]","[0.89684869 1.         1.         1.         1.         1.
 1.        ]",0.170,10.000,10.761,Reverb
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_0.21s_ambient noise_SNR-10dB.wav,stipa_0.21s_ambient noise_SNR-10dB.wav,0.542,70.232,29.768,"[0.0, np.float64(6.826089528238613), np.float64(5.932617737045995), np.float64(7.773887323873073), np.float64(8.49798993648032), np.float64(4.668239217133489), np.float64(-3.623894657676328)]",4.296,"[0.44201574 0.63537824 0.58776333 0.63139844 0.64813974 0.54741775
 0.32365016]","[0.44201574 0.63537824 0.58776333 0.63139844 0.64813974 0.54741775
 0.32365016]","[0.5        0.72753632 0.69775392 0.75912958 0.78326633 0.65560797
 0.37920351]",0.210,-10.000,14.296,Noise
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_0.21s_ambient noise_SNR0dB.wav,stipa_0.21s_ambient noise_SNR0dB.wav,0.711,59.190,40.810,"[np.float64(-12.754661753188344), np.float64(16.781449720614603), np.float64(15.874101857787172), np.float64(17.74679854745449), np.float64(18.482090610347196), np.float64(14.683675906176495), np.float64(6.343504863871293)]",11.022,"[0.07484461 0.89329894 0.83879803 0.87677063 0.88576013 0.80695687
 0.58845047]","[0.43780777 0.89329894 0.83879803 0.87677063 0.88576013 0.80695687
 0.58845047]","[0.07484461 1.         1.         1.         1.         0.98945586
 0.71145016]",0.210,0.000,11.022,Mixed
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_0.21s_ambient noise_SNR10dB.wav,stipa_0.21s_ambient noise_SNR10dB.wav,0.898,72.339,27.661,"[np.float64(-0.27617048332111643), np.float64(26.6979580976785), np.float64(25.779875382791), np.float64(27.65887713417502), np.float64(28.317339515246477), np.float64(24.62298340210085), np.float64(16.320581706461653)]",21.303,"[0.48850002 1.         1.         1.         1.         0.99581806
 0.82417984]","[0.48850002 1.         1.         1.         1.         0.99581806
 0.82417984]","[0.49079432 1.         1.         1.         1.         1.
 1.        ]",0.210,10.000,11.303,Noise
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_0.46s_ambient noise_SNR-10dB.wav,stipa_0.46s_ambient noise_SNR-10dB.wav,0.530,64.157,35.843,"[np.float64(-11.713544957127988), np.float64(-0.8234410182116667), np.float64(9.95911456836241), np.float64(7.301689856253677), np.float64(9.075298707458037), np.float64(5.586660975279317), np.float64(8.104556027356868)]",3.927,"[0.1095485  0.44218671 0.69672006 0.61762984 0.65669037 0.56767905
 0.62857958]","[0.43007773 0.44218671 0.69672006 0.61762984 0.65669037 0.56767905
 0.62857958]","[0.1095485  0.47255197 0.83197049 0.74338966 0.80250996 0.68622203
 0.77015187]",0.460,-10.000,13.927,Mainly Noise
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_0.46s_ambient noise_SNR0dB.wav,stipa_0.46s_ambient noise_SNR0dB.wav,0.776,43.803,56.197,"[np.float64(0.6321436771028142), np.float64(9.489505752626139), np.float64(19.926887088943282), np.float64(17.306063980798577), np.float64(19.053249345198413), np.float64(15.577025518388448), np.float64(18.089869601182436)]",14.296,"[0.50877855 0.68834225 0.95925559 0.79557901 0.87151665 0.80932425
 0.83801832]","[0.50877855 0.68834225 0.95925559 0.79557901 0.87151665 0.80932425
 0.83801832]","[0.52107146 0.81631686 1.         1.         1.         1.
 1.        ]",0.460,0.000,14.296,Mixed
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_0.46s_ambient noise_SNR10dB.wav,stipa_0.46s_ambient noise_SNR10dB.wav,0.908,26.802,73.198,"[np.float64(10.907421164023955), np.float64(19.543283707724072), np.float64(29.70686661764916), np.float64(27.25270523155235), np.float64(28.836835550367628), np.float64(25.494152953981942), np.float64(27.91130077984914)]",24.236,"[0.70618314 0.89798638 1.         0.87002733 0.9936783  0.97542692
 0.93010921]","[0.70618314 0.89798638 1.         0.87002733 0.9936783  0.97542692
 0.93010921]","[0.86358071 1.         1.         1.         1.         1.
 1.        ]",0.460,10.000,14.236,Reverb
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_1.04s_ambient noise_SNR-10dB.wav,stipa_1.04s_ambient noise_SNR-10dB.wav,0.400,91.240,8.760,"[0.0, np.float64(8.45429695072445), np.float64(-0.9900747601533859), np.float64(2.6446018085185474), np.float64(-1.6245287486113102), np.float64(-4.067543088465901), np.float64(-6.502992680554486)]",-0.298,"[0.44361408 0.63057281 0.40896888 0.4918181  0.37049099 0.29126869
 0.24912847]","[0.44361408 0.63057281 0.40896888 0.4918181  0.37049099 0.29126869
 0.24912847]","[0.5        0.7818099  0.46699751 0.58815339 0.44584904 0.36441523
 0.28323358]",1.040,-10.000,9.702,Noise
