File Name,Overall STIPA Score
רמקול בחדר קרוב בלי רעש.wav,0.508053002185542
רמקול בחדר קרוב עם רעש.wav,0.6849118139922727
רמקול בחדר רחוק בלי רעש.wav,0.49001747950732394
רמקול בחדר רחוק עם רעש .wav,0.833862609602651
רמקול בחדר של יובל עם רעש.wav,0.6837402374361636
רמקול בחדר של יובל.wav,0.25058880600947764
רמקול בשירותים קרוב עם רעש.wav,0.6990657788431925
רמקול בשירותים רחוק עם רעש.wav,0.7114908839560259
רמקול מחוץ לשירותים על השידה.wav,0.4805140267474568
רמקול על השידה עם רעש.wav,0.6218514963940657
שירותים קרוב.wav,0.6725788557534246
שירותים רחוק .wav,0.6888244780687908
