filepath,filename,sti_score,standard_noise_percent,standard_reverb_percent,standard_noise_loss,standard_reverb_loss,simple_noise_percent,simple_reverb_percent,simple_noise_loss,simple_reverb_loss,snr_per_band,avg_snr,ti_per_band,ti_mtf,ti_noise,theoretical_rt60,theoretical_snr
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_0.17s_ambient noise_SNR-10dB.wav,stipa_0.17s_ambient noise_SNR-10dB.wav,0.453,91.388,8.612,0.480,0.045,87.719,12.281,0.480,0.067,"[np.float64(-3.9193415626538206), np.float64(6.438893520655917), np.float64(1.218824820483916), np.float64(0.96329010509332), np.float64(-1.9429287596876144), np.float64(-0.7329589388954276), np.float64(4.412300503492362)]",0.920,"[0.36935528 0.61636109 0.48653231 0.46703164 0.37836943 0.40770507
 0.51876071]","[0.44348359 0.61636109 0.48653231 0.46703164 0.37836943 0.40770507
 0.51876071]","[0.36935528 0.71462978 0.54062749 0.53210967 0.43523571 0.47556804
 0.64707668]",0.170,-10.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_0.17s_ambient noise_SNR0dB.wav,stipa_0.17s_ambient noise_SNR0dB.wav,0.666,43.894,56.106,0.170,0.217,50.855,49.145,0.170,0.164,"[np.float64(2.9575947011264803), np.float64(16.38028127563379), np.float64(11.266663305612155), np.float64(11.033391694787936), np.float64(8.057133138772047), np.float64(9.234769436164482), np.float64(14.398841186718872)]",10.476,"[0.53211262 0.82013028 0.73062446 0.6508125  0.63382598 0.66994293
 0.68366772]","[0.53211262 0.82013028 0.73062446 0.6508125  0.63382598 0.66994293
 0.68366772]","[0.59858649 1.         0.87555544 0.86777972 0.7685711  0.80782565
 0.97996137]",0.170,0.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_0.17s_ambient noise_SNR10dB.wav,stipa_0.17s_ambient noise_SNR10dB.wav,0.808,11.048,88.952,0.021,0.172,11.107,88.893,0.021,0.171,"[np.float64(12.389385274189724), np.float64(26.362111747925873), np.float64(21.275220149671313), np.float64(21.037910507420495), np.float64(18.050908268508902), np.float64(19.228436091489932), np.float64(24.391355800564895)]",20.391,"[0.70380501 0.92034904 0.90794169 0.73237248 0.80875766 0.88130708
 0.74179203]","[0.70380501 0.92034904 0.90794169 0.73237248 0.80875766 0.88130708
 0.74179203]","[0.91297951 1.         1.         1.         1.         1.
 1.        ]",0.170,10.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_0.21s_ambient noise_SNR-10dB.wav,stipa_0.21s_ambient noise_SNR-10dB.wav,0.521,74.187,25.813,0.403,0.140,84.195,15.805,0.403,0.076,"[np.float64(-6.540253521644058), np.float64(6.381227187397771), np.float64(5.167400119771139), np.float64(7.014316278996057), np.float64(7.995983137860746), np.float64(4.217430766510983), np.float64(-4.015007328844043)]",2.889,"[0.28199155 0.63537824 0.58776333 0.63139844 0.64813974 0.54741775
 0.32365016]","[0.44201574 0.63537824 0.58776333 0.63139844 0.64813974 0.54741775
 0.32365016]","[0.28199155 0.71270757 0.67224667 0.73381054 0.76653277 0.64058103
 0.36616642]",0.210,-10.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_0.21s_ambient noise_SNR0dB.wav,stipa_0.21s_ambient noise_SNR0dB.wav,0.745,56.343,43.657,0.144,0.111,56.339,43.661,0.144,0.111,"[np.float64(-5.010227726255561), np.float64(16.330590018434485), np.float64(15.173689773877124), np.float64(17.033938030644116), np.float64(17.99612540895083), np.float64(14.223435759922378), np.float64(5.872424881798352)]",11.660,"[0.33299241 0.89329894 0.83879803 0.87677063 0.88576013 0.80695687
 0.58845047]","[0.43780777 0.89329894 0.83879803 0.87677063 0.88576013 0.80695687
 0.58845047]","[0.33299241 1.         1.         1.         1.         0.97411453
 0.6957475 ]",0.210,0.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_0.21s_ambient noise_SNR10dB.wav,stipa_0.21s_ambient noise_SNR10dB.wav,0.898,71.187,28.813,0.070,0.028,68.971,31.029,0.070,0.032,"[np.float64(1.1015641478983198), np.float64(26.31516089139893), np.float64(25.173855540209917), np.float64(27.03650938766295), np.float64(27.99648940239097), np.float64(24.22680363855648), np.float64(15.850594373625338)]",21.100,"[0.48850002 1.         1.         1.         1.         0.99581806
 0.82417984]","[0.48850002 1.         1.         1.         1.         0.99581806
 0.82417984]",[0.5367188 1.        1.        1.        1.        1.        1.       ],0.210,10.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_0.46s_ambient noise_SNR-10dB.wav,stipa_0.46s_ambient noise_SNR-10dB.wav,0.560,64.624,35.376,0.355,0.194,80.575,19.425,0.355,0.085,"[np.float64(-4.798589114135788), np.float64(-1.2002784426620114), np.float64(9.23029072600518), np.float64(6.537066882823152), np.float64(8.576499429138977), np.float64(5.133078581553963), np.float64(7.63306472366378)]",4.444,"[0.34004703 0.44218671 0.69672006 0.61762984 0.65669037 0.56767905
 0.62857958]","[0.43007773 0.44218671 0.69672006 0.61762984 0.65669037 0.56767905
 0.62857958]","[0.34004703 0.45999072 0.80767636 0.71790223 0.78588331 0.67110262
 0.75443549]",0.460,-10.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_0.46s_ambient noise_SNR0dB.wav,stipa_0.46s_ambient noise_SNR0dB.wav,0.776,43.966,56.034,0.095,0.121,42.327,57.673,0.095,0.129,"[np.float64(1.8426558091791665), np.float64(9.046620727848376), np.float64(19.239266558069396), np.float64(16.59053511713983), np.float64(18.57958092986715), np.float64(15.119656284860705), np.float64(17.63032935610322)]",14.007,"[0.50877855 0.68834225 0.95925559 0.79557901 0.87151665 0.80932425
 0.83801832]","[0.50877855 0.68834225 0.95925559 0.79557901 0.87151665 0.80932425
 0.83801832]","[0.56142186 0.80155402 1.         1.         1.         1.
 1.        ]",0.460,0.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_0.46s_ambient noise_SNR10dB.wav,stipa_0.46s_ambient noise_SNR10dB.wav,0.908,25.157,74.843,0.026,0.076,27.854,72.146,0.026,0.066,"[np.float64(11.398057114754039), np.float64(19.120989808424902), np.float64(29.24218843698261), np.float64(26.603322228931596), np.float64(28.58089462892415), np.float64(25.116549092639488), np.float64(27.62568788972019)]",23.955,"[0.70618314 0.89798638 1.         0.87002733 0.9936783  0.97542692
 0.93010921]","[0.70618314 0.89798638 1.         0.87002733 0.9936783  0.97542692
 0.93010921]","[0.87993524 1.         1.         1.         1.         1.
 1.        ]",0.460,10.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_1.04s_ambient noise_SNR-10dB.wav,stipa_1.04s_ambient noise_SNR-10dB.wav,0.379,92.087,7.913,0.567,0.049,91.274,8.726,0.567,0.054,"[np.float64(-6.504776212007791), np.float64(8.003546059699653), np.float64(-2.0105118558880695), np.float64(1.7855923586293598), np.float64(-2.1177093081644784), np.float64(-4.407873411256107), np.float64(-6.812413158482766)]",-1.723,"[0.28317413 0.63057281 0.40896888 0.4918181  0.37049099 0.29126869
 0.24912847]","[0.44361408 0.63057281 0.40896888 0.4918181  0.37049099 0.29126869
 0.24912847]","[0.28317413 0.76678487 0.43298294 0.55951975 0.42940969 0.35307089
 0.27291956]",1.040,-10.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_1.04s_ambient noise_SNR0dB.wav,stipa_1.04s_ambient noise_SNR0dB.wav,0.567,56.678,43.322,0.287,0.220,66.373,33.627,0.287,0.146,"[np.float64(-4.798160462171143), np.float64(17.92495373540727), np.float64(8.03892553029247), np.float64(11.839483585450331), np.float64(7.895117049560345), np.float64(5.569425994659385), np.float64(3.009045337518741)]",7.068,"[0.34006132 0.77737172 0.6251393  0.69809224 0.60723377 0.52695708
 0.4542375 ]","[0.43987276 0.77737172 0.6251393  0.69809224 0.60723377 0.52695708
 0.4542375 ]","[0.34006132 1.         0.76796418 0.89464945 0.76317057 0.68564753
 0.60030151]",1.040,0.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_1.04s_ambient noise_SNR10dB.wav,stipa_1.04s_ambient noise_SNR10dB.wav,0.687,24.868,75.132,0.078,0.234,24.776,75.224,0.078,0.235,"[np.float64(1.5807117173452054), np.float64(27.90057373984441), np.float64(18.04000458890183), np.float64(21.84219490179455), np.float64(17.892445487036994), np.float64(15.570693002612517), np.float64(12.991254022941302)]",16.545,"[0.49058046 0.82888612 0.74581475 0.80923529 0.74142544 0.66085717
 0.59290767]","[0.49058046 0.82888612 0.74581475 0.80923529 0.74142544 0.66085717
 0.59290767]","[0.55269039 1.         1.         1.         1.         1.
 0.9330418 ]",1.040,10.000
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_1.30s_ambient noise_SNR-10dB.wav,stipa_1.30s_ambient noise_SNR-10dB.wav,0.457,47.013,52.987,0.305,0.343,56.099,43.901,0.305,0.238,"[np.float64(-6.4696994023090015), np.float64(3.371159204428769), np.float64(7.983532491977342), np.float64(8.853020754516441), np.float64(12.301080251479268), np.float64(6.239016699236263), np.float64(8.077729734675694)]",5.765,"[0.28434335 0.46636109 0.49102404 0.43158267 0.50345489 0.51001612
 0.50648056]","[0.44330038 0.46636109 0.49102404 0.43158267 0.50345489 0.51001612
 0.50648056]","[0.28434335 0.61237197 0.76611775 0.79510069 0.91003601 0.70796722
 0.76925766]",1.300,-10.000
